"Teams","Game","Points","Conference","MaxPoints","MinPoints","MaxFinal","PointsLessGames","MaxPointsLessGames","MinPointsLessGames","MaxFinalLessGames"
"Pittsburgh Riverhounds",4,6,"East",6,6,96,2,2,2,92
"Rio Grande Valley",4,6,"West",6,6,96,2,2,2,92
"Sacramento Republic",4,10,"West",10,10,100,6,6,6,96
"San Antonio",4,10,"West",10,10,100,6,6,6,96
"San Diego Loyal",4,7,"West",7,7,97,3,3,3,93
"Tampa Bay Rowdies",4,2,"East",2,2,92,-2,-2,-2,88
"Birmingham Legion",5,10,"East",10,10,97,5,5,5,92
"Charleston Battery",5,11,"East",11,11,98,6,6,6,93
"Colorado Springs",5,10,"West",10,10,97,5,5,5,92
"Detroit City",5,3,"East",3,3,90,-2,-2,-2,85
"El Paso Locomotive",5,4,"West",4,4,91,-1,-1,-1,86
"FC Tulsa",5,6,"East",6,6,93,1,1,1,88
"Hartford Athletic",5,2,"East",2,2,89,-3,-3,-3,84
"Indy Eleven",5,5,"East",5,5,92,0,0,0,87
"Las Vegas Lights",5,4,"West",4,4,91,-1,-1,-1,86
"Loudoun United",5,7,"East",7,7,94,2,2,2,89
"Louisville City",5,9,"East",9,9,96,4,4,4,91
"Memphis 901",5,5,"East",5,5,92,0,0,0,87
"Miami FC",5,3,"East",3,3,90,-2,-2,-2,85
"Monterey Bay",5,7,"West",7,7,94,2,2,2,89
"New Mexico United",5,4,"West",4,4,91,-1,-1,-1,86
"Oakland Roots",5,7,"West",7,7,94,2,2,2,89
"Orange County SC",5,3,"West",3,3,90,-2,-2,-2,85
"Phoenix Rising",5,6,"West",6,6,93,1,1,1,88
"Pittsburgh Riverhounds",5,6,"East",6,6,93,1,1,1,88
"Rio Grande Valley",5,6,"West",6,6,93,1,1,1,88
"Sacramento Republic",5,11,"West",11,11,98,6,6,6,93
"San Antonio",5,11,"West",11,11,98,6,6,6,93
"San Diego Loyal",5,10,"West",10,10,97,5,5,5,92
"Tampa Bay Rowdies",5,5,"East",5,5,92,0,0,0,87
"Birmingham Legion",6,10,"East",10,10,94,4,4,4,88
"Charleston Battery",6,14,"East",14,14,98,8,8,8,92
"Colorado Springs",6,10,"West",10,10,94,4,4,4,88
"Detroit City",6,4,"East",4,4,88,-2,-2,-2,82
"El Paso Locomotive",6,7,"West",7,7,91,1,1,1,85
"FC Tulsa",6,6,"East",6,6,90,0,0,0,84
"Hartford Athletic",6,5,"East",5,5,89,-1,-1,-1,83
"Indy Eleven",6,5,"East",5,5,89,-1,-1,-1,83
"Las Vegas Lights",6,5,"West",5,5,89,-1,-1,-1,83
"Loudoun United",6,10,"East",10,10,94,4,4,4,88
"Louisville City",6,12,"East",12,12,96,6,6,6,90
"Memphis 901",6,6,"East",6,6,90,0,0,0,84
"Miami FC",6,4,"East",4,4,88,-2,-2,-2,82
"Monterey Bay",6,8,"West",8,8,92,2,2,2,86
"New Mexico United",6,7,"West",7,7,91,1,1,1,85
"Oakland Roots",6,7,"West",7,7,91,1,1,1,85
"Orange County SC",6,6,"West",6,6,90,0,0,0,84
"Phoenix Rising",6,7,"West",7,7,91,1,1,1,85
"Pittsburgh Riverhounds",6,9,"East",9,9,93,3,3,3,87
"Rio Grande Valley",6,6,"West",6,6,90,0,0,0,84
"Sacramento Republic",6,14,"West",14,14,98,8,8,8,92
"San Antonio",6,11,"West",11,11,95,5,5,5,89
"San Diego Loyal",6,11,"West",11,11,95,5,5,5,89
"Tampa Bay Rowdies",6,5,"East",5,5,89,-1,-1,-1,83
"Birmingham Legion",7,13,"East",13,13,94,6,6,6,87
"Charleston Battery",7,15,"East",15,15,96,8,8,8,89
"Colorado Springs",7,13,"West",13,13,94,6,6,6,87
"Detroit City",7,4,"East",4,4,85,-3,-3,-3,78
"El Paso Locomotive",7,10,"West",10,10,91,3,3,3,84
"FC Tulsa",7,6,"East",6,6,87,-1,-1,-1,80
"Hartford Athletic",7,5,"East",5,5,86,-2,-2,-2,79
"Indy Eleven",7,6,"East",6,6,87,-1,-1,-1,80
"Las Vegas Lights",7,5,"West",5,5,86,-2,-2,-2,79
"Loudoun United",7,10,"East",10,10,91,3,3,3,84
"Louisville City",7,13,"East",13,13,94,6,6,6,87
"Memphis 901",7,9,"East",9,9,90,2,2,2,83
"Miami FC",7,7,"East",7,7,88,0,0,0,81
"Monterey Bay",7,11,"West",11,11,92,4,4,4,85
"New Mexico United",7,8,"West",8,8,89,1,1,1,82
"Oakland Roots",7,8,"West",8,8,89,1,1,1,82
"Orange County SC",7,6,"West",6,6,87,-1,-1,-1,80
"Phoenix Rising",7,10,"West",10,10,91,3,3,3,84
"Pittsburgh Riverhounds",7,9,"East",9,9,90,2,2,2,83
"Rio Grande Valley",7,7,"West",7,7,88,0,0,0,81
"Sacramento Republic",7,17,"West",17,17,98,10,10,10,91
"San Antonio",7,12,"West",12,12,93,5,5,5,86
"San Diego Loyal",7,14,"West",14,14,95,7,7,7,88
"Tampa Bay Rowdies",7,5,"East",5,5,86,-2,-2,-2,79
"Birmingham Legion",8,16,"East",16,16,94,8,8,8,86
"Charleston Battery",8,15,"East",15,15,93,7,7,7,85
"Colorado Springs",8,16,"West",16,16,94,8,8,8,86
"Detroit City",8,4,"East",4,4,82,-4,-4,-4,74
"El Paso Locomotive",8,13,"West",13,13,91,5,5,5,83
"FC Tulsa",8,7,"East",7,7,85,-1,-1,-1,77
"Hartford Athletic",8,5,"East",5,5,83,-3,-3,-3,75
"Indy Eleven",8,9,"East",9,9,87,1,1,1,79
"Las Vegas Lights",8,5,"West",5,5,83,-3,-3,-3,75
"Loudoun United",8,10,"East",10,10,88,2,2,2,80
"Louisville City",8,14,"East",14,14,92,6,6,6,84
"Memphis 901",8,12,"East",12,12,90,4,4,4,82
"Miami FC",8,8,"East",8,8,86,0,0,0,78
"Monterey Bay",8,12,"West",12,12,90,4,4,4,82
"New Mexico United",8,11,"West",11,11,89,3,3,3,81
"Oakland Roots",8,11,"West",11,11,89,3,3,3,81
"Orange County SC",8,6,"West",6,6,84,-2,-2,-2,76
"Phoenix Rising",8,10,"West",10,10,88,2,2,2,80
"Pittsburgh Riverhounds",8,10,"East",10,10,88,2,2,2,80
"Rio Grande Valley",8,8,"West",8,8,86,0,0,0,78
"Sacramento Republic",8,18,"West",18,18,96,10,10,10,88
"San Antonio",8,13,"West",13,13,91,5,5,5,83
"San Diego Loyal",8,14,"West",14,14,92,6,6,6,84
"Tampa Bay Rowdies",8,8,"East",8,8,86,0,0,0,78
"Birmingham Legion",9,16,"East",16,16,91,7,7,7,82
"Charleston Battery",9,18,"East",18,18,93,9,9,9,84
"Colorado Springs",9,16,"West",16,16,91,7,7,7,82
"Detroit City",9,5,"East",5,5,80,-4,-4,-4,71
"El Paso Locomotive",9,16,"West",16,16,91,7,7,7,82
"FC Tulsa",9,8,"East",8,8,83,-1,-1,-1,74
"Hartford Athletic",9,5,"East",5,5,80,-4,-4,-4,71
"Indy Eleven",9,9,"East",9,9,84,0,0,0,75
"Las Vegas Lights",9,6,"West",6,6,81,-3,-3,-3,72
"Loudoun United",9,10,"East",10,10,85,1,1,1,76
"Louisville City",9,17,"East",17,17,92,8,8,8,83
"Memphis 901",9,15,"East",15,15,90,6,6,6,81
"Miami FC",9,11,"East",11,11,86,2,2,2,77
"Monterey Bay",9,13,"West",13,13,88,4,4,4,79
"New Mexico United",9,14,"West",14,14,89,5,5,5,80
"Oakland Roots",9,14,"West",14,14,89,5,5,5,80
"Orange County SC",9,6,"West",6,6,81,-3,-3,-3,72
"Phoenix Rising",9,13,"West",13,13,88,4,4,4,79
"Pittsburgh Riverhounds",9,11,"East",11,11,86,2,2,2,77
"Rio Grande Valley",9,11,"West",11,11,86,2,2,2,77
"Sacramento Republic",9,21,"West",21,21,96,12,12,12,87
"San Antonio",9,16,"West",16,16,91,7,7,7,82
"San Diego Loyal",9,17,"West",17,17,92,8,8,8,83
"Tampa Bay Rowdies",9,11,"East",11,11,86,2,2,2,77
"Birmingham Legion",10,16,"East",16,16,88,6,6,6,78
"Charleston Battery",10,18,"East",18,18,90,8,8,8,80
"Colorado Springs",10,16,"West",16,16,88,6,6,6,78
"Detroit City",10,5,"East",5,5,77,-5,-5,-5,67
"El Paso Locomotive",10,19,"West",19,19,91,9,9,9,81
"FC Tulsa",10,9,"East",9,9,81,-1,-1,-1,71
"Hartford Athletic",10,8,"East",8,8,80,-2,-2,-2,70
"Indy Eleven",10,12,"East",12,12,84,2,2,2,74
"Las Vegas Lights",10,6,"West",6,6,78,-4,-4,-4,68
"Loudoun United",10,10,"East",10,10,82,0,0,0,72
"Louisville City",10,17,"East",17,17,89,7,7,7,79
"Memphis 901",10,18,"East",18,18,90,8,8,8,80
"Miami FC",10,11,"East",11,11,83,1,1,1,73
"Monterey Bay",10,13,"West",13,13,85,3,3,3,75
"New Mexico United",10,14,"West",14,14,86,4,4,4,76
"Oakland Roots",10,14,"West",14,14,86,4,4,4,76
"Orange County SC",10,6,"West",6,6,78,-4,-4,-4,68
"Phoenix Rising",10,16,"West",16,16,88,6,6,6,78
"Pittsburgh Riverhounds",10,14,"East",14,14,86,4,4,4,76
"Rio Grande Valley",10,11,"West",11,11,83,1,1,1,73
"Sacramento Republic",10,21,"West",21,21,93,11,11,11,83
"San Antonio",10,19,"West",19,19,91,9,9,9,81
"San Diego Loyal",10,17,"West",17,17,89,7,7,7,79
"Tampa Bay Rowdies",10,14,"East",14,14,86,4,4,4,76
"Birmingham Legion",11,16,"East",16,16,85,5,5,5,74
"Charleston Battery",11,21,"East",21,21,90,10,10,10,79
"Colorado Springs",11,16,"West",16,16,85,5,5,5,74
"Detroit City",11,8,"East",8,8,77,-3,-3,-3,66
"El Paso Locomotive",11,22,"West",22,22,91,11,11,11,80
"FC Tulsa",11,9,"East",9,9,78,-2,-2,-2,67
"Hartford Athletic",11,8,"East",8,8,77,-3,-3,-3,66
"Indy Eleven",11,12,"East",12,12,81,1,1,1,70
"Las Vegas Lights",11,9,"West",9,9,78,-2,-2,-2,67
"Loudoun United",11,10,"East",10,10,79,-1,-1,-1,68
"Louisville City",11,20,"East",20,20,89,9,9,9,78
"Memphis 901",11,21,"East",21,21,90,10,10,10,79
"Miami FC",11,11,"East",11,11,80,0,0,0,69
"Monterey Bay",11,13,"West",13,13,82,2,2,2,71
"New Mexico United",11,14,"West",14,14,83,3,3,3,72
"Oakland Roots",11,17,"West",17,17,86,6,6,6,75
"Orange County SC",11,9,"West",9,9,78,-2,-2,-2,67
"Phoenix Rising",11,16,"West",16,16,85,5,5,5,74
"Pittsburgh Riverhounds",11,17,"East",17,17,86,6,6,6,75
"Rio Grande Valley",11,11,"West",11,11,80,0,0,0,69
"Sacramento Republic",11,24,"West",24,24,93,13,13,13,82
"San Antonio",11,19,"West",19,19,88,8,8,8,77
"San Diego Loyal",11,20,"West",20,20,89,9,9,9,78
"Tampa Bay Rowdies",11,17,"East",17,17,86,6,6,6,75
"Birmingham Legion",12,16,"East",16,16,82,4,4,4,70
"Charleston Battery",12,24,"East",24,24,90,12,12,12,78
"Colorado Springs",12,16,"West",16,16,82,4,4,4,70
"Detroit City",12,11,"East",11,11,77,-1,-1,-1,65
"El Paso Locomotive",12,25,"West",25,25,91,13,13,13,79
"FC Tulsa",12,12,"East",12,12,78,0,0,0,66
"Hartford Athletic",12,9,"East",9,9,75,-3,-3,-3,63
"Indy Eleven",12,15,"East",15,15,81,3,3,3,69
"Las Vegas Lights",12,9,"West",9,9,75,-3,-3,-3,63
"Loudoun United",12,10,"East",10,10,76,-2,-2,-2,64
"Louisville City",12,21,"East",21,21,87,9,9,9,75
"Memphis 901",12,22,"East",22,22,88,10,10,10,76
"Miami FC",12,12,"East",12,12,78,0,0,0,66
"Monterey Bay",12,14,"West",14,14,80,2,2,2,68
"New Mexico United",12,14,"West",14,14,80,2,2,2,68
"Oakland Roots",12,20,"West",20,20,86,8,8,8,74
"Orange County SC",12,9,"West",9,9,75,-3,-3,-3,63
"Phoenix Rising",12,16,"West",16,16,82,4,4,4,70
"Pittsburgh Riverhounds",12,20,"East",20,20,86,8,8,8,74
"Rio Grande Valley",12,11,"West",11,11,77,-1,-1,-1,65
"Sacramento Republic",12,27,"West",27,27,93,15,15,15,81
"San Antonio",12,22,"West",22,22,88,10,10,10,76
"San Diego Loyal",12,20,"West",20,20,86,8,8,8,74
"Tampa Bay Rowdies",12,20,"East",20,20,86,8,8,8,74
"Birmingham Legion",13,16,"East",16,16,79,3,3,3,66
"Charleston Battery",13,24,"East",24,24,87,11,11,11,74
"Colorado Springs",13,16,"West",16,16,79,3,3,3,66
"Detroit City",13,12,"East",12,12,75,-1,-1,-1,62
"El Paso Locomotive",13,26,"West",26,26,89,13,13,13,76
"FC Tulsa",13,13,"East",13,13,76,0,0,0,63
"Hartford Athletic",13,10,"East",10,10,73,-3,-3,-3,60
"Indy Eleven",13,16,"East",16,16,79,3,3,3,66
"Las Vegas Lights",13,9,"West",9,9,72,-4,-4,-4,59
"Loudoun United",13,10,"East",10,10,73,-3,-3,-3,60
"Louisville City",13,21,"East",21,21,84,8,8,8,71
"Memphis 901",13,25,"East",25,25,88,12,12,12,75
"Miami FC",13,12,"East",12,12,75,-1,-1,-1,62
"Monterey Bay",13,17,"West",17,17,80,4,4,4,67
"New Mexico United",13,15,"West",15,15,78,2,2,2,65
"Oakland Roots",13,21,"West",21,21,84,8,8,8,71
"Orange County SC",13,10,"West",10,10,73,-3,-3,-3,60
"Phoenix Rising",13,17,"West",17,17,80,4,4,4,67
"Pittsburgh Riverhounds",13,23,"East",23,23,86,10,10,10,73
"Rio Grande Valley",13,12,"West",12,12,75,-1,-1,-1,62
"Sacramento Republic",13,28,"West",28,28,91,15,15,15,78
"San Antonio",13,23,"West",23,23,86,10,10,10,73
"San Diego Loyal",13,21,"West",21,21,84,8,8,8,71
"Tampa Bay Rowdies",13,21,"East",21,21,84,8,8,8,71
"Birmingham Legion",14,19,"East",19,19,79,5,5,5,65
"Charleston Battery",14,25,"East",25,25,85,11,11,11,71
"Colorado Springs",14,19,"West",19,19,79,5,5,5,65
"Detroit City",14,15,"East",15,15,75,1,1,1,61
"El Paso Locomotive",14,29,"West",29,29,89,15,15,15,75
"FC Tulsa",14,13,"East",13,13,73,-1,-1,-1,59
"Hartford Athletic",14,10,"East",10,10,70,-4,-4,-4,56
"Indy Eleven",14,16,"East",16,16,76,2,2,2,62
"Las Vegas Lights",14,9,"West",9,9,69,-5,-5,-5,55
"Loudoun United",14,13,"East",13,13,73,-1,-1,-1,59
"Louisville City",14,22,"East",22,22,82,8,8,8,68
"Memphis 901",14,28,"East",28,28,88,14,14,14,74
"Miami FC",14,13,"East",13,13,73,-1,-1,-1,59
"Monterey Bay",14,20,"West",20,20,80,6,6,6,66
"New Mexico United",14,15,"West",15,15,75,1,1,1,61
"Oakland Roots",14,22,"West",22,22,82,8,8,8,68
"Orange County SC",14,13,"West",13,13,73,-1,-1,-1,59
"Phoenix Rising",14,18,"West",18,18,78,4,4,4,64
"Pittsburgh Riverhounds",14,26,"East",26,26,86,12,12,12,72
"Rio Grande Valley",14,13,"West",13,13,73,-1,-1,-1,59
"Sacramento Republic",14,29,"West",29,29,89,15,15,15,75
"San Antonio",14,24,"West",24,24,84,10,10,10,70
"San Diego Loyal",14,22,"West",22,22,82,8,8,8,68
"Tampa Bay Rowdies",14,24,"East",24,24,84,10,10,10,70
"Birmingham Legion",15,22,"East",22,22,79,7,7,7,64
"Charleston Battery",15,25,"East",25,25,82,10,10,10,67
"Colorado Springs",15,22,"West",22,22,79,7,7,7,64
"Detroit City",15,16,"East",16,16,73,1,1,1,58
"El Paso Locomotive",15,30,"West",30,30,87,15,15,15,72
"FC Tulsa",15,13,"East",13,13,70,-2,-2,-2,55
"Hartford Athletic",15,10,"East",10,10,67,-5,-5,-5,52
"Indy Eleven",15,19,"East",19,19,76,4,4,4,61
"Las Vegas Lights",15,9,"West",9,9,66,-6,-6,-6,51
"Loudoun United",15,16,"East",16,16,73,1,1,1,58
"Louisville City",15,25,"East",25,25,82,10,10,10,67
"Memphis 901",15,28,"East",28,28,85,13,13,13,70
"Miami FC",15,13,"East",13,13,70,-2,-2,-2,55
"Monterey Bay",15,23,"West",23,23,80,8,8,8,65
"New Mexico United",15,18,"West",18,18,75,3,3,3,60
"Oakland Roots",15,23,"West",23,23,80,8,8,8,65
"Orange County SC",15,13,"West",13,13,70,-2,-2,-2,55
"Phoenix Rising",15,21,"West",21,21,78,6,6,6,63
"Pittsburgh Riverhounds",15,27,"East",27,27,84,12,12,12,69
"Rio Grande Valley",15,16,"West",16,16,73,1,1,1,58
"Sacramento Republic",15,29,"West",29,29,86,14,14,14,71
"San Antonio",15,25,"West",25,25,82,10,10,10,67
"San Diego Loyal",15,23,"West",23,23,80,8,8,8,65
"Tampa Bay Rowdies",15,25,"East",25,25,82,10,10,10,67
"Birmingham Legion",16,22,"East",22,22,76,6,6,6,60
"Charleston Battery",16,28,"East",28,28,82,12,12,12,66
"Colorado Springs",16,22,"West",22,22,76,6,6,6,60
"Detroit City",16,16,"East",16,16,70,0,0,0,54
"El Paso Locomotive",16,30,"West",30,30,84,14,14,14,68
"FC Tulsa",16,13,"East",13,13,67,-3,-3,-3,51
"Hartford Athletic",16,10,"East",10,10,64,-6,-6,-6,48
"Indy Eleven",16,20,"East",20,20,74,4,4,4,58
"Las Vegas Lights",16,9,"West",9,9,63,-7,-7,-7,47
"Loudoun United",16,16,"East",16,16,70,0,0,0,54
"Louisville City",16,26,"East",26,26,80,10,10,10,64
"Memphis 901",16,28,"East",28,28,82,12,12,12,66
"Miami FC",16,13,"East",13,13,67,-3,-3,-3,51
"Monterey Bay",16,26,"West",26,26,80,10,10,10,64
"New Mexico United",16,21,"West",21,21,75,5,5,5,59
"Oakland Roots",16,23,"West",23,23,77,7,7,7,61
"Orange County SC",16,16,"West",16,16,70,0,0,0,54
"Phoenix Rising",16,22,"West",22,22,76,6,6,6,60
"Pittsburgh Riverhounds",16,30,"East",30,30,84,14,14,14,68
"Rio Grande Valley",16,19,"West",19,19,73,3,3,3,57
"Sacramento Republic",16,32,"West",32,32,86,16,16,16,70
"San Antonio",16,25,"West",25,25,79,9,9,9,63
"San Diego Loyal",16,23,"West",23,23,77,7,7,7,61
"Tampa Bay Rowdies",16,28,"East",28,28,82,12,12,12,66
"Birmingham Legion",17,23,"East",23,23,74,6,6,6,57
"Charleston Battery",17,28,"East",28,28,79,11,11,11,62
"Colorado Springs",17,22,"West",22,22,73,5,5,5,56
"Detroit City",17,16,"East",16,16,67,-1,-1,-1,50
"El Paso Locomotive",17,31,"West",31,31,82,14,14,14,65
"FC Tulsa",17,16,"East",16,16,67,-1,-1,-1,50
"Hartford Athletic",17,10,"East",10,10,61,-7,-7,-7,44
"Indy Eleven",17,20,"East",20,20,71,3,3,3,54
"Las Vegas Lights",17,10,"West",10,10,61,-7,-7,-7,44
"Loudoun United",17,16,"East",16,16,67,-1,-1,-1,50
"Louisville City",17,29,"East",29,29,80,12,12,12,63
"Memphis 901",17,29,"East",29,29,80,12,12,12,63
"Miami FC",17,13,"East",13,13,64,-4,-4,-4,47
"Monterey Bay",17,26,"West",26,26,77,9,9,9,60
"New Mexico United",17,22,"West",22,22,73,5,5,5,56
"Oakland Roots",17,23,"West",23,23,74,6,6,6,57
"Orange County SC",17,19,"West",19,19,70,2,2,2,53
"Phoenix Rising",17,25,"West",25,25,76,8,8,8,59
"Pittsburgh Riverhounds",17,31,"East",31,31,82,14,14,14,65
"Rio Grande Valley",17,20,"West",20,20,71,3,3,3,54
"Sacramento Republic",17,33,"West",33,33,84,16,16,16,67
"San Antonio",17,28,"West",28,28,79,11,11,11,62
"San Diego Loyal",17,24,"West",24,24,75,7,7,7,58
"Tampa Bay Rowdies",17,31,"East",31,31,82,14,14,14,65
"Birmingham Legion",18,26,"East",26,26,74,8,8,8,56
"Charleston Battery",18,31,"East",31,31,79,13,13,13,61
"Colorado Springs",18,25,"West",25,25,73,7,7,7,55
"Detroit City",18,16,"East",16,16,64,-2,-2,-2,46
"El Paso Locomotive",18,31,"West",31,31,79,13,13,13,61
"FC Tulsa",18,19,"East",19,19,67,1,1,1,49
"Hartford Athletic",18,10,"East",10,10,58,-8,-8,-8,40
"Indy Eleven",18,21,"East",21,21,69,3,3,3,51
"Las Vegas Lights",18,11,"West",11,11,59,-7,-7,-7,41
"Loudoun United",18,16,"East",16,16,64,-2,-2,-2,46
"Louisville City",18,29,"East",29,29,77,11,11,11,59
"Memphis 901",18,30,"East",30,30,78,12,12,12,60
